area;condominio;preco
33;300;235000
33;500;320000
35;200;270000
36;300;330000
36;200;2000000
39;300;365000
40;250;107000
41;220;284000
42;190;85000
42;160;95000
42;230;108000
42;220;110000
42;190;110000
42;180;120000
42;150;130000
42;300;320000
43;158;115000
43;158;115000
43;200;115000
43;200;150000
43;220;150000
43;160;230000
43;300;370000
44;140;110000
44;220;149000
44;120;150000
45;180;95000
45;140;105000
45;180;105000
45;248;115000
45;220;120000
45;265;130000
45;260;140000
45;255;145000
45;213;160000
45;213;168000
45;200;200000
45;250;260000
45;288;388455
45;288;718824
46;180;105000
46;250;110000
46;257;120000
46;220;184001
46;200;200000
46;260;255000
47;240;60000
47;240;100000
47;225;115000
47;120;125000
47;300;320000
47;300;320000
48;130;90000
48;200;107000
48;270;115000
48;257;120000
48;145;145000
48;300;340000
49;300;115000
49;300;115000
49;250;139900
49;230;165000
49;275;195000
50;300;48000
50;140;90000
50;180;95000
50;120;100000
50;190;100009
50;285;130000
50;280;130000
50;200;145000
50;220;150000
50;210;160000
50;220;160000
50;210;160000
50;300;180000
50;280;260000
51;244;140000
51;300;199999
51;300;220000
52;155;55000
52;180;120000
52;170;130000
52;250;130000
52;250;130000
52;230;150000
52;290;175000
52;290;230000
52;290;238000
52;300;260000
52;230;272000
52;230;272000
52;230;272000
52;250;275000
53;215;115000
53;200;116000
53;150;135000
53;275;135000
53;240;135003
53;280;140000
53;165;150000
53;300;212000
53;200;230000
53;290;238000
53;220;250000
53;300;280000
54;230;100000
54;236;140000
54;280;155000
54;290;200000
54;295;275000
55;100;79999
55;140;100000
55;180;115000
55;280;140000
55;280;140000
55;260;140000
55;260;140000
55;300;165000
55;200;275000
55;250;432000
56;219;125000
56;237;145000
56;300;212000
56;300;465000
57;150;180000
57;250;220000
57;290;235000
58;300;258000
58;190;100000
58;180;112003
58;200;200000
59;280;120000
59;240;180000
59;300;265000
59;280;270000
59;300;280000
59;300;295000
60;160;100000
60;150;110000
60;195;115000
60;195;115000
60;230;135000
60;170;140000
60;215;150000
60;275;169000
60;280;175000
60;250;235900
60;270;250000
60;300;260000
60;300;260000
60;300;312000
61;120;110000
61;710;265000
62;185;105000
62;185;105000
62;210;125000
62;260;130000
62;250;140000
62;220;160000
62;300;180000
62;300;250000
62;300;260000
62;270;630000
63;170;140000
63;300;230000
63;720;264000
63;300;390000
64;207;130000
64;228;160001
64;245;175000
64;274;270000
64;753;295000
64;300;367500
64;270;380000
65;117;100000
65;190;100000
65;117;100000
65;117;100000
65;240;105000
65;240;105000
65;150;110000
65;195;150000
65;245;150000
65;250;175000
65;265;190000
65;280;235000
65;300;510000
66;120;120000
66;888;280000
66;282;320000
67;280;160000
67;280;170000
67;260;200000
67;200;220000
68;280;120000
68;250;142000
68;290;158000
68;270;165000
68;230;165000
68;293;205000
68;270;235000
68;270;235000
68;270;235001
68;300;359000
69;165;120003
69;286;180000
69;231;192000
69;231;192003
69;215;210000
70;160;115000
70;200;135000
70;250;218000
70;300;220000
70;240;230000
70;270;230000
70;280;235003
70;290;625000
72;250;165000
72;286;175000
72;250;340000
72;250;468000
72;287;559000
74;200;240000
74;295;320000
74;300;386467
75;300;340000
76;300;185000
76;288;230000
77;200;550000
78;145;125000
78;290;160000
85;300;200000
85;210;260000
85;1000;395000
85;1000;395000
85;1000;395000
85;1000;395000
85;1100;450000
85;1100;450000
85;1100;480000
87;1035;590000
88;120;230000
92;250;235000
93;1000;475000
97;1200;398000
97;1300;430000
97;1300;450000
97;1200;450000
99;175;260000
99;1140;495000
150;1500;620000
150;1100;698000
150;1100;698000
150;1400;720000
150;1400;760000
150;1080;1350000
151;1400;620000
151;300;950000
151;1300;1050000
152;1700;600000
152;1150;819000
152;1600;870000
152;1700;1350000
153;1080;680000
155;1000;550000
155;1000;550000
155;1200;560000
155;1297;720000
155;1600;800000
155;1600;800000
156;1080;650000
156;1400;750000
157;1350;330000
157;1638;750000
159;1443;790000
159;1446;790000
159;1080;850000
160;1100;840000
160;1100;850000
160;1165;950000
160;1165;950000
160;1165;950000
160;1165;950000
160;1700;950000
160;1100;950000
160;1500;1100000
160;1350;1150000
160;1300;1350000
161;1400;1700000
162;1000;1450000
162;1000;1450000
162;1000;1450000
163;1450;1200000
163;1624;1600000
163;1624;1600000
163;1624;1600000
163;1624;1600000
165;1500;1750000
165;1530;1900000
165;1300;1250000
165;1100;1280000
165;1100;1280000
165;1100;1400000
167;1100;1300000
168;1340;1930000
169;1300;1400000
170;1600;1780000
170;1600;1300000
172;1350;1750000
173;1100;1700000
173;1100;1800000
174;1100;1100000
174;1200;1600000
174;1000;1800000
175;1400;1880000
175;1980;1990000
175;1980;1150000
175;1300;1350000
176;1700;1449000
176;1300;1350000
176;1200;1600000
178;1650;1805000
178;2200;2000000
179;1080;1650000
180;1500;1700000
